Date,Open,High,Low,Close,Volume,Change %,SMA,close_diff,EMA12,EMA26,MACD,signal_line,MA15,MA30,MA45,TRIX,RSI,ATR,W%,ROC,SO %K,SO %D,ADX,VAR,CCI,upper_band,lower_band,VolatilityIndex,Daily_Return,Daily_Return1,Daily_Return2,Daily_Return3,label_1d,label_3d,label_7d,label_10d
2018-10-15,213.983337,213.983337,210.666672,212.916672,174198,0.6380995766128938,229.4533333,1.3500060000000076,219.58865652937473,229.7010612060639,-10.11240467668918,-8.902906140824815,222.10888313482639,232.00016450231814,239.13144488076566,-0.041363365543262996,29.710159248434508,6.439285285714285,-90.78124184375163,-12.63762108015102,14.603973924122956,9.793518097879778,44.77124828478101,147822.0520155806,-82.50728736936445,263.1424320210175,206.38534617898253,14.734987829946148,0.6380995766128902,-0.03130057071084411,-5.145524952347037,-6.492457266040276,1,2,0,0
2018-10-16,213.0,217.933334,212.333328,213.449997,277299,0.25048531662188456,227.94749984999999,0.5333249999999907,218.64424737100939,228.4972786722814,-9.853031301272011,-9.092931172914255,221.0265223679731,230.80337950216858,238.01486019029758,-0.04107666692062296,30.259999707668868,6.494046857142856,-89.78125766874847,-12.364856609730003,16.28485483762048,13.725762264762784,48.21502144342379,147822.0520155806,-66.07580814754643,262.859445678037,204.57277692196308,14.755636542783334,0.25048531662188983,1.6347912355887697,-3.292303807061957,-4.943222378848067,2,1,0,0
2018-10-17,215.96666,216.616669,211.866669,212.583328,183465,-0.4060290523217991,225.59833219999996,-0.8666690000000017,217.71179823700794,227.31846751137167,-9.606669274363725,-9.19567879320415,219.97112307197645,229.62789230848028,236.9091413994151,-0.04076148847385792,11.583527322130067,6.466665999999999,-91.40626171874766,-18.100687198754922,13.819077174821741,14.902635312188393,52.01013180157476,147822.0520155806,-65.10690198735284,262.2927790718333,202.87166499483334,13.10436000757669,-0.40602905232179587,0.48053978408866954,-2.9226009100409365,-5.153184021523334,2,2,0,0
2018-10-19,212.0,213.116669,209.050003,209.616669,391278,-1.3955275928317357,223.44833219999995,-2.966658999999993,216.46639373900672,226.00722317719598,-9.540829438189263,-9.264708922201173,218.67681631297938,228.33684564341706,235.72251216465793,-0.0409805123903054,12.390663536450333,5.985713357142856,-96.4020720118387,-17.021837937384884,5.777255943420905,11.96039598528771,55.04402291108706,147822.0520155806,-76.91711412245459,261.486985481261,201.07079251873898,11.911369641859544,-1.3955275928317354,-1.5499035228204223,-0.7340187659916352,-6.615677802663429,0,0,0,0
2018-10-22,210.333328,211.899994,207.116669,207.699997,222450,-0.9143700303719693,221.5641655,-1.9166720000000055,215.11771731762104,224.65113234925553,-9.53341503163449,-9.318450144087837,217.30471389885696,227.0054360535192,234.5041419401076,-0.04136695443588283,13.661194534463746,5.685712499999998,-98.726821343282,-15.356924957547342,2.5830028240301637,7.393111980757603,57.116304118902576,147822.0520155806,-80.75387052686627,260.8748078104124,199.13519185625432,11.219339539391603,-0.9143700303719671,-2.6938393444905975,-2.4806353747758254,-5.897453776257757,0,0,0,0
2018-10-23,207.0,209.633331,203.350006,204.25,207237,-1.6610481703569824,219.81999894999998,-3.449996999999996,213.44576080721782,223.13993736042178,-9.69417655320396,-9.393595425911062,215.67287466149983,225.53734340490507,233.18874446445074,-0.042302508065131174,14.44103950527041,5.658331642857141,-97.71090966868861,-14.587398107209069,3.4155381684949826,3.9252656453153505,58.73445947474757,147822.0520155806,-92.04491125531068,260.52688304391796,196.87644955608204,11.054554731243535,-1.6610481703569773,-3.920028949777282,-2.74581212634542,-6.728063058058159,0,0,0,0
2018-10-24,204.833328,206.0,201.683334,202.833328,324150,-0.693597062423501,217.92999879999996,-1.4166720000000055,211.81307883687663,221.6357440744646,-9.822665237587984,-9.479409388246447,214.06793132881234,224.07256821749186,231.86894374860506,-0.04314780896024898,11.402305393145141,5.694045999999998,-97.12381692594052,-15.708548289181106,4.10467870495495,3.367739899160032,60.50755485746587,147822.0520155806,-97.63773592087905,259.75759963497734,194.7735100316893,10.527584351835104,-0.6935970624235033,-3.2360694559076344,-4.127936675997911,-3.946334864812384,0,0,0,0
2018-10-25,202.0,202.933334,198.666672,201.28334,424902,-0.7641683027554413,216.02499924999998,-1.5499879999999848,210.1931190158187,220.12815858746723,-9.935039571648531,-9.570535424926863,212.46985741271078,222.6022954292666,230.5391348899701,-0.0439510542164208,11.332875971851706,5.477378785714284,-93.8862880055013,-15.91589140348289,9.520930548352217,5.68038247393405,64.0287555017654,147822.0520155806,-105.66624286337323,258.89411545899657,192.70477267433677,9.867692991258865,-0.7641683027554451,-3.0893871413970153,-5.4637957144098115,-5.493386085879571,0,0,0,0
2018-10-26,202.28334,202.333328,196.666672,199.266663,537192,-1.001909547009705,214.12833255,-2.0166770000000156,208.51212578261584,218.5828626180252,-10.070736835409349,-9.67057570702336,210.81945811112195,221.0967707564107,229.1794621991018,-0.044843951315149906,11.371342438155267,5.299997499999997,-94.15732359550564,-15.992130893661017,9.749970149988021,7.791859801098397,67.49769943124929,147822.0520155806,-109.17701423673248,257.9146707539029,190.6331055794305,9.206892004199199,-1.0019095470097106,-2.43982227662179,-6.644804028739341,-5.118641467034451,0,0,0,0
2018-10-29,200.116669,204.666672,199.333328,199.949997,310206,0.34292439573799793,212.50666585,0.6833340000000021,207.19487520067494,217.20265035002333,-10.00777514934839,-9.738015595488367,209.4607754722317,219.73246277212615,227.90861588609738,-0.04506932421119165,13.936241381336359,5.304760428571427,-91.64902465659284,-13.956824639887792,14.101615641236773,11.124172113192337,69.62978020227027,147822.0520155806,-91.06034736889194,256.6735366573787,188.90757300928794,8.662546483520176,0.3429243957379876,-1.4215272354058097,-5.942766593624876,-5.490784167294105,2,0,0,0
